Date,Open,High,Low,Close,Volume,Adj Close
2014-08-19,37.099998,37.099998,36.779999,36.889999,489500,36.889999
2014-08-18,37.099998,37.099998,36.860001,36.970001,387600,36.970001
2014-08-15,37.509998,37.59,36.52,36.75,583800,36.75
2014-08-14,37.41,37.580002,37.23,37.509998,220700,37.509998
2014-08-13,37.459999,37.66,37.240002,37.330002,673300,37.330002
2014-08-12,37.540001,37.700001,37.139999,37.27,622400,37.27
2014-08-11,37.209999,38.060001,37.189999,37.52,448100,37.52
2014-08-08,37.389999,37.389999,37.009998,37.209999,746300,37.209999
2014-08-07,38.619999,38.619999,37.34,37.439999,829900,37.439999
2014-08-06,38.25,38.799999,37.93,38.619999,589700,38.619999
2014-08-05,39.00,39.00,38.389999,38.580002,704900,38.580002
2014-08-01,39.00,39.049999,38.360001,38.68,747000,38.68
2014-07-31,39.50,39.599998,38.43,39.110001,942800,39.110001
2014-07-30,38.779999,39.889999,38.599998,38.82,1886400,38.82
2014-07-29,38.50,39.02,38.279999,38.450001,815800,38.450001
2014-07-28,38.400002,38.619999,38.27,38.48,933500,38.48
2014-07-25,38.02,38.48,37.950001,38.459999,420400,38.459999
2014-07-24,37.639999,38.099998,37.490002,38.080002,559500,38.080002
2014-07-23,38.00,38.00,37.32,37.50,676600,37.50
2014-07-22,38.080002,38.279999,37.93,37.990002,442400,37.990002
2014-07-21,38.130001,38.23,37.720001,37.82,263400,37.82
2014-07-18,38.00,38.470001,37.709999,38.32,327000,38.32
2014-07-17,38.34,38.50,37.959999,38.060001,310400,38.060001
2014-07-16,38.48,38.73,38.290001,38.310001,393300,38.310001
2014-07-15,38.459999,38.650002,38.240002,38.25,557200,38.25
2014-07-14,38.290001,38.48,37.93,38.48,422000,38.48
2014-07-11,38.00,38.209999,37.560001,38.080002,409500,38.080002
2014-07-10,37.830002,38.00,37.43,37.720001,460600,37.720001
2014-07-09,37.389999,38.040001,37.240002,38.02,715100,38.02
2014-07-08,37.990002,37.990002,36.759998,37.290001,1119300,37.290001
2014-07-07,38.330002,38.34,37.48,37.599998,611600,37.599998
2014-07-04,37.82,38.34,37.82,38.07,109500,38.07
2014-07-03,38.50,38.50,37.889999,37.950001,381900,37.950001
2014-07-02,38.360001,38.650002,38.00,38.400002,581500,38.400002
2014-06-30,37.939999,38.73,37.689999,37.82,694200,37.82
2014-06-27,37.139999,37.84,36.77,37.830002,587800,37.830002
2014-06-26,36.27,37.080002,36.150002,37.029999,554000,37.029999
2014-06-25,36.279999,36.50,36.099998,36.25,398500,36.25
2014-06-24,36.869999,36.939999,36.290001,36.369999,469400,36.369999
2014-06-23,36.799999,36.799999,36.380001,36.48,574500,36.48
2014-06-20,36.549999,36.75,36.349998,36.540001,1736600,36.540001
2014-06-19,37.599998,37.599998,36.57,36.700001,500100,36.700001
2014-06-18,37.43,37.68,37.419998,37.580002,306700,37.580002
2014-06-17,37.200001,37.59,37.16,37.299999,306300,37.299999
2014-06-16,37.330002,37.48,36.889999,37.25,336400,37.25
2014-06-13,36.57,37.439999,36.57,37.310001,839200,37.310001
2014-06-12,36.84,36.939999,36.419998,36.50,317300,36.50
2014-06-11,36.900002,37.18,36.68,37.040001,520500,37.040001
2014-06-10,37.00,37.150002,36.68,36.860001,268800,36.860001
2014-06-09,37.09,37.099998,36.75,36.900002,555500,36.900002
2014-06-06,36.700001,37.200001,36.599998,37.060001,1337900,37.060001
2014-06-05,36.419998,36.77,36.200001,36.709999,717500,36.709999
2014-06-04,36.48,36.650002,36.080002,36.450001,527600,36.450001
2014-06-03,36.450001,36.740002,36.279999,36.50,486400,36.50
2014-06-02,37.119999,37.130001,36.43,36.490002,442000,36.490002
2014-05-30,36.82,36.900002,36.360001,36.900002,1126500,36.900002
2014-05-29,37.00,37.119999,36.41,36.799999,542700,36.799999
2014-05-28,37.439999,37.439999,36.610001,37.009998,363900,37.009998
2014-05-27,37.27,37.470001,37.16,37.25,548000,37.25
2014-05-26,37.200001,37.48,37.110001,37.240002,62700,37.240002
2014-05-23,36.900002,37.360001,36.799999,37.23,961900,37.23
2014-05-22,37.400002,37.400002,36.720001,36.779999,560500,36.779999
2014-05-21,36.68,37.34,36.599998,37.330002,598600,37.330002
2014-05-20,36.610001,36.84,36.369999,36.529999,1273300,36.529999
2014-05-16,36.939999,37.07,36.34,36.380001,975000,36.380001
2014-05-15,36.799999,36.91,35.419998,36.779999,1754500,36.779999
2014-05-14,38.200001,38.200001,36.68,36.830002,1012400,36.830002
2014-05-13,38.00,38.330002,37.52,37.939999,725000,37.939999
2014-05-12,37.470001,37.900002,37.34,37.830002,339300,37.830002
2014-05-09,37.130001,37.68,36.91,37.43,535900,37.43
2014-05-08,37.610001,37.790001,36.830002,37.150002,642800,37.150002
2014-05-07,37.549999,37.990002,37.130001,37.599998,534400,37.599998
2014-05-06,37.84,37.889999,37.18,37.439999,1116600,37.439999
2014-05-05,39.049999,39.150002,37.830002,38.060001,1144700,38.060001
2014-05-02,39.279999,39.349998,38.450001,39.080002,702400,39.080002
2014-05-01,39.59,40.209999,38.939999,39.110001,1008600,39.110001
2014-04-30,40.91,40.93,38.93,39.52,3513700,39.52
2014-04-29,37.959999,38.75,37.450001,38.080002,1271300,38.080002
2014-04-28,38.150002,38.25,37.509998,37.91,974300,37.91
2014-04-25,37.619999,38.439999,37.450001,38.139999,1597500,38.139999
2014-04-24,37.25,37.740002,36.790001,37.639999,893600,37.639999
2014-04-23,36.77,37.16,36.580002,36.939999,739400,36.939999
2014-04-22,36.57,36.73,36.380001,36.580002,525200,36.580002
2014-04-21,36.439999,36.549999,36.07,36.450001,427600,36.450001
2014-04-17,36.169998,36.57,35.919998,36.330002,517900,36.330002
2014-04-16,36.099998,36.34,35.740002,36.169998,678900,36.169998
2014-04-15,35.360001,36.349998,35.200001,36.00,1083500,36.00
2014-04-14,35.50,35.73,35.07,35.220001,607900,35.220001
2014-04-11,35.099998,35.459999,34.799999,35.189999,833100,35.189999
2014-04-10,35.959999,36.049999,34.57,35.00,902000,35.00
2014-04-09,34.880001,36.029999,34.759998,35.939999,969000,35.939999
